B=39 Q2=3120  sampled distinct nodes=4639
  m  #nodes selfOK% mean-surv mean-pred    beta  g>1% fib/Hcoset
 17       1    0.0%      0.00      0.40    0.43    0%       0.05
 16       1    0.0%      0.00      0.33    0.35    0%       0.04
 15      12    0.0%      0.92      0.29    0.32    0%       0.04
 14     177    6.2%      0.87      0.25    0.30    0%       0.04
 13       4   25.0%      0.75      0.21    0.25    0%       0.04
 12      30   20.0%      1.97      0.18    0.22    0%       0.03
 11     381    4.7%      0.30      0.14    0.19    0%       0.03
 10    4033    2.9%      0.28      0.11    0.16    0%       0.03
K distribution (surv/pred): median=0.00 p90=0.00 p99=86.67 max=122.35 n=4639
